1;0;$0$;$\mathfrak{0}$;0
2;1;$1$;$\mathfrak{1}$;1
3;2;$2$;$z \rho$;2
4;3;$3$;$z \rho$;3
5;2,1;$2\,1$;$z \rho$;3
6;4;$4$;$z \rho$;4
7;3,1;$3\,1$;$z \rho$;4
8;2,2;$2\,2$;$z \rho$;4
9;2,1,1;$2\,1\,1$;$z \rho$;4
10;5;$5$;$z \rho$;5
11;4,1;$4\,1$;$z \rho$;5
12;3,2;$3\,2$;$z \rho$;5
13;3,1,1;$3\,1\,1$;$z \rho$;5
14;3,(2,0);$3 (2\,0)$;$x$;5
15;3,(-2,0);$3 \overline{(2\,0)}$;$x$;5
16;2,3;$2\,3$;$z \rho$;5
17;2,2,1;$2\,2\,1$;$z \rho$;5
18;2,1,2;$2\,1\,2$;$z \rho$;5
19;2,1,1,1;$2\,1\,1\,1$;$z \rho$;5
20;2,(2,1,0);$2 (2\,1\,0)$;$x$;5
21;6;$6$;$z \rho$;6
22;5,1;$5\,1$;$z \rho$;6
23;4,2;$4\,2$;$z \rho$;6
24;4,1,1;$4\,1\,1$;$z \rho$;6
25;3,3;$3\,3$;$z \rho$;6
26;3,2,1;$3\,2\,1$;$z \rho$;6
27;3,1,2;$3\,1\,2$;$z \rho$;6
28;3,1,1,1;$3\,1\,1\,1$;$z \rho$;6
29;3,(3,0);$3 (3\,0)$;$z \rho$;6
30;3,(2,1,0);$3 (2\,1\,0)$;$x$;6
31;3,(-3,0);$3 \overline{(3\,0)}$;$\overline{zx}$;6
32;3,(2,1);$3 (2\,1)$;$x$;6
33;3,(2,0),1;$3 (2\,0) 1$;$z$;6
34;3,(2,0),-1;$3 (2\,0) \overline{1}$;$z$;6
35;2,4;$2\,4$;$z \rho$;6
36;2,3,1;$2\,3\,1$;$z \rho$;6
37;2,2,2;$2\,2\,2$;$z \rho$;6
38;2,2,1,1;$2\,2\,1\,1$;$z \rho$;6
39;2,2,(2,0);$2\,2 (2\,0)$;$x$;6
40;2,2,(-2,0);$2\,2 \overline{(2\,0)}$;$x$;6
41;2,1,3;$2\,1\,3$;$z \rho$;6
42;2,1,2,1;$2\,1\,2\,1$;$z \rho$;6
43;2,1,1,2;$2\,1\,1\,2$;$z \rho$;6
44;2,1,1,1,1;$2\,1\,1\,1\,1$;$z \rho$;6
45;2,1,(2,1,0);$2\,1 (2\,1\,0)$;$z \rho$;6
46;2,1,(-3,0);$2\,1 \overline{(3\,0)}$;$z \rho$;6
47;2,(2,1,1,0);$2 (2\,1\,1\,0)$;$x$;6
48;2,(2,1,1);$2 (2\,1\,1)$;$x$;6
49;2,(2,1,0),1;$2 (2\,1\,0) 1$;$z$;6
50;2,(-3,0),1;$2 \overline{(3\,0)} 1$;$z$;6
51;7;$7$;$z \rho$;7
52;6,1;$6\,1$;$z \rho$;7
53;5,2;$5\,2$;$z \rho$;7
54;5,1,1;$5\,1\,1$;$z \rho$;7
55;5,(2,0);$5 (2\,0)$;$x$;7
56;5,(-2,0);$5 \overline{(2\,0)}$;$x$;7
57;4,3;$4\,3$;$z \rho$;7
58;4,2,1;$4\,2\,1$;$z \rho$;7
59;4,1,2;$4\,1\,2$;$z \rho$;7
60;4,1,1,1;$4\,1\,1\,1$;$z \rho$;7
61;4,1,(2,0);$4\,1 (2\,0)$;$x$;7
62;4,(3,0);$4 (3\,0)$;$x$;7
63;4,(2,1,0);$4 (2\,1\,0)$;$x$;7
64;4,(-3,0);$4 \overline{(3\,0)}$;$x$;7
65;3,4;$3\,4$;$z \rho$;7
66;3,3,1;$3\,3\,1$;$z \rho$;7
67;3,2,2;$3\,2\,2$;$z \rho$;7
68;3,2,1,1;$3\,2\,1\,1$;$z \rho$;7
69;3,2,(2,0);$3\,2 (2\,0)$;$x$;7
70;3,2,(-2,0);$3\,2 \overline{(2\,0)}$;$x$;7
71;3,1,3;$3\,1\,3$;$z \rho$;7
72;3,1,2,1;$3\,1\,2\,1$;$z \rho$;7
73;3,1,1,2;$3\,1\,1\,2$;$z \rho$;7
74;3,1,1,1,1;$3\,1\,1\,1\,1$;$z \rho$;7
75;3,1,1,(2,0);$3\,1\,1 (2\,0)$;$x$;7
76;3,1,(2,1,0);$3\,1 (2\,1\,0)$;$x$;7
77;3,1,(-3,0);$3\,1 \overline{(3\,0)}$;$x$;7
78;3,(3,1,0);$3 (3\,1\,0)$;$x$;7
79;3,(3,1);$3 (3\,1)$;$z \rho$;7
80;3,(3,0),1;$3 (3\,0) 1$;$z \rho$;7
81;3,(3,0),-1;$3 (3\,0) \overline{1}$;$z \rho$;7
82;3,(2,2,0);$3 (2\,2\,0)$;$x$;7
83;3,(2,2);$3 (2\,2)$;$x$;7
84;3,(2,1,1,0);$3 (2\,1\,1\,0)$;$x$;7
85;3,(2,1,1);$3 (2\,1\,1)$;$x$;7
86;3,(2,1,0),1;$3 (2\,1\,0) 1$;$z$;7
87;3,(-3,0),1;$3 \overline{(3\,0)} 1$;$z$;7
88;3,(2,1),1;$3 (2\,1) 1$;$z$;7
89;3,(2,0),2;$3 (2\,0) 2$;$y$;7
90;3,(2,0),-2;$3 (2\,0) \overline{2}$;$y$;7
91;3,(2,0),(2,0);$3 (2\,0) (2\,0)$;$e$;7
92;3,(2,0),(-2,0);$3 (2\,0) \overline{(2\,0)}$;$e$;7
93;3,(-2,0),2;$3 \overline{(2\,0)} 2$;$y$;7
94;3,(-2,0),(2,0);$3 \overline{(2\,0)} (2\,0)$;$e$;7
95;2,5;$2\,5$;$z \rho$;7
96;2,4,1;$2\,4\,1$;$z \rho$;7
97;2,3,2;$2\,3\,2$;$z \rho$;7
98;2,3,1,1;$2\,3\,1\,1$;$z \rho$;7
99;2,3,(2,0);$2\,3 (2\,0)$;$x$;7
100;2,3,(-2,0);$2\,3 \overline{(2\,0)}$;$x$;7
101;2,2,3;$2\,2\,3$;$z \rho$;7
102;2,2,2,1;$2\,2\,2\,1$;$z \rho$;7
103;2,2,1,2;$2\,2\,1\,2$;$z \rho$;7
104;2,2,1,1,1;$2\,2\,1\,1\,1$;$z \rho$;7
105;2,2,(2,1,0);$2\,2 (2\,1\,0)$;$x$;7
106;2,2,(-3,0);$2\,2 \overline{(3\,0)}$;$x$;7
107;2,2,(2,1);$2\,2 (2\,1)$;$x$;7
108;2,2,(2,0),1;$2\,2 (2\,0) 1$;$z$;7
109;2,2,(2,0),-1;$2\,2 (2\,0) \overline{1}$;$z$;7
110;2,2,(-2,0),-1;$2\,2 \overline{(2\,0) 1}$;$z$;7
111;2,1,4;$2\,1\,4$;$z \rho$;7
112;2,1,3,1;$2\,1\,3\,1$;$z \rho$;7
113;2,1,2,2;$2\,1\,2\,2$;$z \rho$;7
114;2,1,2,1,1;$2\,1\,2\,1\,1$;$z \rho$;7
115;2,1,1,3;$2\,1\,1\,3$;$z \rho$;7
116;2,1,1,2,1;$2\,1\,1\,2\,1$;$z \rho$;7
117;2,1,1,1,2;$2\,1\,1\,1\,2$;$z \rho$;7
118;2,1,1,1,1,1;$2\,1\,1\,1\,1\,1$;$z \rho$;7
119;2,1,1,(-3,0);$2\,1\,1 \overline{(3\,0)}$;$x$;7
120;2,1,(2,1,1,0);$2\,1 (2\,1\,1\,0)$;$x$;7
121;2,1,(2,1,1);$2\,1 (2\,1\,1)$;$z \rho$;7
122;2,1,(2,1,0),1;$2\,1 (2\,1\,0) 1$;$z \rho$;7
123;2,1,(-3,0),1;$2\,1 \overline{(3\,0)} 1$;$z \rho$;7
124;3,(2,0),1,1;$3 (2\,0) 1\,1$;$y$;7
125;2,(2,1,0),1,1;$2 (2\,1\,0) 1\,1$;$y$;7
126;2,(2,2,1,0);$2 (2\,2\,1\,0)$;$x$;7
127;2,(2,1,2);$2 (2\,1\,2)$;$x$;7
128;2,(2,1,1,1);$2 (2\,1\,1\,1)$;$x$;7
129;2,(2,1,1,0),1;$2 (2\,1\,1\,0) 1$;$z$;7
130;2,(2,1,1),1;$2 (2\,1\,1) 1$;$z$;7
131;2,(2,1,0),2;$2 (2\,1\,0) 2$;$y$;7
132;2,(2,1,0),-2;$2 (2\,1\,0) \overline{2}$;$y$;7
133;2,(2,1,0),(2,0);$2 (2\,1\,0) (2\,0)$;$e$;7
134;2,(2,1,0),(-2,0);$2 (2\,1\,0) \overline{(2\,0)}$;$e$;7
135;2,(-3,0),2;$2 \overline{(3\,0)} 2$;$y$;7
136;2,(-3,0),(2,0);$2 \overline{(3\,0)} (2\,0)$;$e$;7
137;8;$8$;$z \rho$;8
138;7,1;$7\,1$;$z \rho$;8
139;6,2;$6\,2$;$z \rho$;8
140;6,1,1;$6\,1\,1$;$z \rho$;8
141;5,3;$5\,3$;$z \rho$;8
142;5,2,1;$5\,2\,1$;$z \rho$;8
143;5,1,2;$5\,1\,2$;$z \rho$;8
144;5,1,1,1;$5\,1\,1\,1$;$z \rho$;8
145;5,(3,0);$5 (3\,0)$;$x$;8
146;5,(2,1,0);$5 (2\,1\,0)$;$x$;8
147;5,(-3,0);$5 \overline{(3\,0)}$;$x$;8
148;5,(2,1);$5 (2\,1)$;$x$;8
149;5,(2,0),1;$5 (2\,0) 1$;$z$;8
150;5,(2,0),-1;$5 (2\,0) \overline{1}$;$z$;8
151;4,4;$4\,4$;$z \rho$;8
152;4,3,1;$4\,3\,1$;$z \rho$;8
153;4,2,2;$4\,2\,2$;$z \rho$;8
154;4,2,1,1;$4\,2\,1\,1$;$z \rho$;8
155;4,2,(2,0);$4\,2 (2\,0)$;$x$;8
156;4,2,(-2,0);$4\,2 \overline{(2\,0)}$;$x$;8
157;4,1,3;$4\,1\,3$;$z \rho$;8
158;4,1,2,1;$4\,1\,2\,1$;$z \rho$;8
159;4,1,1,2;$4\,1\,1\,2$;$z \rho$;8
160;4,1,1,1,1;$4\,1\,1\,1\,1$;$z \rho$;8
161;4,1,1,(2,0);$4\,1\,1 (2\,0)$;$x$;8
162;4,1,(3,0);$4\,1 (3\,0)$;$x$;8
163;4,1,(2,1,0);$4\,1 (2\,1\,0)$;$x$;8
164;4,1,(-3,0);$4\,1 \overline{(3\,0)}$;$x$;8
165;4,1,(2,1);$4\,1 (2\,1)$;$x$;8
166;4,1,(2,0),1;$4\,1 (2\,0) 1$;$z$;8
167;4,(3,1);$4 (3\,1)$;$x$;8
168;4,(3,0),1;$4 (3\,0) 1$;$z$;8
169;4,(3,0),-1;$4 (3\,0) \overline{1}$;$z$;8
170;4,(2,2,0);$4 (2\,2\,0)$;$x$;8
171;4,(2,1,1,0);$4 (2\,1\,1\,0)$;$x$;8
172;4,(2,1,1);$4 (2\,1\,1)$;$x$;8
173;4,(2,1,0),1;$4 (2\,1\,0) 1$;$z$;8
174;4,(-3,0),1;$4 \overline{(3\,0)} 1$;$z$;8
175;3,5;$3\,5$;$z \rho$;8
176;3,4,1;$3\,4\,1$;$z \rho$;8
177;3,3,2;$3\,3\,2$;$z \rho$;8
178;3,3,1,1;$3\,3\,1\,1$;$z \rho$;8
179;3,2,3;$3\,2\,3$;$z \rho$;8
180;3,2,2,1;$3\,2\,2\,1$;$z \rho$;8
181;3,2,1,2;$3\,2\,1\,2$;$z \rho$;8
182;3,2,1,1,1;$3\,2\,1\,1\,1$;$z \rho$;8
183;3,2,(2,1,0);$3\,2 (2\,1\,0)$;$x$;8
184;3,2,(-3,0);$3\,2 \overline{(3\,0)}$;$x$;8
185;3,2,(2,1);$3\,2 (2\,1)$;$x$;8
